qid,n_hits,n_relevant_qrel,n_relevant_in_hits,best_rank,found_in_top_k
275264,1000,1,0,,False
275269,1000,2,1,38.0,True
275404,1000,1,1,71.0,True
275500,1000,1,1,12.0,True
275733,1000,1,1,102.0,True
275918,1000,1,0,,False
276180,1000,1,1,1.0,True
276321,1000,1,1,466.0,True
276890,1000,1,1,106.0,True
276927,1000,1,1,1.0,True
277044,1000,1,1,19.0,True
27711,1000,1,1,97.0,True
277158,1000,1,1,5.0,True
277219,1000,1,1,1.0,True
277535,1000,1,1,4.0,True
27754,1000,1,1,264.0,True
277545,1000,1,1,5.0,True
277597,1000,1,1,1.0,True
27764,1000,1,1,11.0,True
277649,1000,1,1,3.0,True
277755,1000,1,1,1.0,True
277876,1000,1,1,3.0,True
278080,1000,1,0,,False
278215,1000,2,0,,False
2783,1000,1,0,,False
278352,1000,1,1,17.0,True
278430,1000,1,0,,False
278451,1000,1,1,16.0,True
278489,1000,1,1,3.0,True
278577,1000,1,1,3.0,True
278676,1000,1,1,958.0,True
278718,1000,1,1,4.0,True
278828,1000,1,1,35.0,True
27886,1000,1,1,81.0,True
278888,1000,1,0,,False
279018,1000,1,1,210.0,True
279142,1000,1,1,1.0,True
279173,1000,1,1,76.0,True
279197,1000,1,1,88.0,True
279211,1000,1,0,,False
279382,1000,1,1,22.0,True
279388,1000,1,1,15.0,True
279425,1000,1,1,2.0,True
279453,1000,1,1,19.0,True
27952,1000,1,1,21.0,True
279523,1000,1,1,55.0,True
279697,1000,1,1,107.0,True
279841,1000,1,1,34.0,True
280068,1000,1,0,,False
280105,1000,1,1,229.0,True
280112,1000,1,1,146.0,True
280294,1000,1,1,752.0,True
280330,1000,1,1,73.0,True
280387,1000,1,1,108.0,True
280457,1000,1,1,45.0,True
280515,1000,1,1,2.0,True
280561,1000,1,1,558.0,True
280594,1000,1,1,451.0,True
280606,1000,1,1,4.0,True
280698,1000,1,0,,False
280723,1000,1,0,,False
280794,1000,1,0,,False
280843,1000,1,0,,False
280874,1000,1,1,2.0,True
281036,1000,1,1,4.0,True
281240,1000,1,1,8.0,True
281481,1000,1,1,17.0,True
281580,1000,1,0,,False
281680,1000,1,1,85.0,True
281697,1000,1,0,,False
281726,1000,1,1,247.0,True
281911,1000,1,1,88.0,True
281917,1000,1,0,,False
2820,1000,1,0,,False
282053,1000,1,1,7.0,True
282094,1000,1,1,113.0,True
282180,1000,1,1,76.0,True
282189,1000,1,0,,False
28247,1000,1,1,1.0,True
282588,1000,1,0,,False
282797,1000,1,1,135.0,True
282829,1000,1,1,583.0,True
282842,1000,1,1,395.0,True
282869,1000,1,1,9.0,True
283003,1000,1,1,22.0,True
283359,1000,1,0,,False
283447,1000,1,1,167.0,True
283776,1000,1,0,,False
283883,1000,1,1,1.0,True
283974,1000,1,1,75.0,True
284029,1000,1,1,4.0,True
284051,1000,1,1,72.0,True
284130,1000,1,1,106.0,True
284149,1000,1,1,170.0,True
284171,1000,1,1,25.0,True
284237,1000,1,0,,False
284257,1000,1,0,,False
284267,1000,1,1,18.0,True
284299,1000,1,1,35.0,True
284301,1000,1,1,1.0,True
284359,1000,1,1,13.0,True
284379,1000,1,1,284.0,True
284761,1000,1,0,,False
284769,1000,1,0,,False
284807,1000,1,1,2.0,True
285183,1000,1,1,3.0,True
285225,1000,1,1,668.0,True
285349,1000,1,1,40.0,True
285432,1000,1,1,5.0,True
28548,1000,1,1,206.0,True
285513,1000,1,1,1.0,True
285579,1000,1,0,,False
285709,1000,1,0,,False
285854,1000,1,1,337.0,True
285889,1000,1,1,1.0,True
28607,1000,1,0,,False
286146,1000,1,1,6.0,True
